date,Ask
2022-03-23 18:47:00.644,4477.06
2022-03-23 18:47:01.983,4476.87
2022-03-23 18:47:04.295,4476.87
2022-03-23 18:47:06.352,4476.82
2022-03-23 18:47:09.458,4477.1
2022-03-23 18:47:09.846,4477.08
2022-03-23 18:47:11.010,4477.34
2022-03-23 18:47:14.378,4477.33
2022-03-23 18:47:16.001,4477.6
2022-03-23 18:47:17.272,4477.56
2022-03-23 18:47:22.238,4477.59
2022-03-23 18:47:23.001,4477.63
2022-03-23 18:47:24.806,4477.58
2022-03-23 18:47:26.131,4477.32
2022-03-23 18:47:27.746,4477.32
2022-03-23 18:47:28.323,4477.35
2022-03-23 18:47:29.442,4477.32
2022-03-23 18:47:29.987,4477.31
2022-03-23 18:47:30.449,4477.33
2022-03-23 18:47:33.131,4477.36
2022-03-23 18:47:33.962,4477.83
2022-03-23 18:47:34.391,4477.81
2022-03-23 18:47:36.306,4478.08
2022-03-23 18:47:40.840,4478.34
2022-03-23 18:47:42.020,4478.61
2022-03-23 18:47:42.530,4478.6
2022-03-23 18:47:43.003,4478.87
2022-03-23 18:47:43.954,4478.86
2022-03-23 18:47:44.498,4478.83
2022-03-23 18:47:44.721,4478.86
2022-03-23 18:47:45.979,4478.9
2022-03-23 18:47:46.345,4478.82
2022-03-23 18:47:46.781,4478.82
2022-03-23 18:47:47.436,4478.6
2022-03-23 18:47:48.026,4478.57
2022-03-23 18:47:48.146,4478.6
2022-03-23 18:47:48.976,4478.35
2022-03-23 18:47:50.982,4479.06
2022-03-23 18:47:51.827,4478.82
2022-03-23 18:47:52.160,4478.84
2022-03-23 18:47:53.333,4478.91
2022-03-23 18:47:53.859,4478.82
2022-03-23 18:47:54.381,4478.83
2022-03-23 18:47:54.919,4478.93
2022-03-23 18:47:55.478,4478.84
2022-03-23 18:47:55.646,4478.92
2022-03-23 18:47:57.363,4478.82
2022-03-23 18:47:58.496,4478.84
2022-03-23 18:47:58.805,4478.85
2022-03-23 18:47:59.735,4479.08
2022-03-23 18:48:00.714,4479.08
2022-03-23 18:48:01.266,4478.84
2022-03-23 18:48:03.398,4479.1
2022-03-23 18:48:05.518,4478.83
2022-03-23 18:48:06.009,4478.84
2022-03-23 18:48:08.489,4478.59
2022-03-23 18:48:09.193,4478.58
2022-03-23 18:48:10.485,4478.12
2022-03-23 18:48:10.832,4478.09
2022-03-23 18:48:11.458,4478.11
2022-03-23 18:48:13.140,4478.1
2022-03-23 18:48:14.022,4478.09
2022-03-23 18:48:14.461,4477.85
2022-03-23 18:48:14.900,4478.1
2022-03-23 18:48:16.245,4478.1
2022-03-23 18:48:16.824,4478.36
2022-03-23 18:48:18.226,4478.59
2022-03-23 18:48:19.019,4478.56
2022-03-23 18:48:19.289,4478.59
2022-03-23 18:48:20.112,4478.56
2022-03-23 18:48:21.241,4478.6
2022-03-23 18:48:21.934,4478.63
2022-03-23 18:48:22.378,4478.59
2022-03-23 18:48:23.435,4478.85
2022-03-23 18:48:24.532,4479.08
2022-03-23 18:48:24.968,4479.07
2022-03-23 18:48:25.380,4479.09
2022-03-23 18:48:26.437,4479.34
2022-03-23 18:48:26.837,4479.32
2022-03-23 18:48:27.421,4479.08
